STABBR,YEAR,dispensary,marij_related_words
NV,2005,0.08333333333333333,12.916666666666666
NV,2006,0.08333333333333333,14.527777777777777
NV,2007,0,14.88888888888889
NV,2008,0,15.63888888888889
NV,2009,0.3333333333333333,19.36111111111111
NV,2010,0.75,21
NV,2011,0.9166666666666666,20.52777777777778
NV,2012,0.9166666666666666,21.055555555555554
NV,2013,1.5,22.444444444444443
NV,2014,2.6666666666666665,25.36111111111111
NV,2015,3.25,25.166666666666668
NV,2016,8.916666666666666,27.63888888888889
NV,2017,38.75,36.861111111111114
NV,2018,53.083333333333336,35.94444444444444
NV,2019,57.666666666666664,35.19444444444444
NV,2020,70.41666666666667,33.80555555555556
NV,2021,89,30.694444444444443
NY,2004,0,21.52777777777778
NY,2005,0,21.36111111111111
NY,2006,0,20.416666666666668
NY,2007,0,20.52777777777778
NY,2008,0,24.13888888888889
NY,2009,0,27.333333333333332
NY,2010,0.08333333333333333,28.36111111111111
NY,2011,0.25,31
NY,2012,0,30.611111111111114
NY,2013,0.3333333333333333,31.88888888888889
NY,2014,1,34.69444444444444
NY,2015,1.4166666666666667,34.19444444444444
NY,2016,1.25,36
NY,2017,1.9166666666666667,40.111111111111114
NY,2018,3.5833333333333335,48.388888888888886
NY,2019,5.333333333333333,45.97222222222222
NY,2020,5.833333333333333,47.55555555555555
NY,2021,9.833333333333334,47.72222222222222
OH,2004,0,14.805555555555555
OH,2005,0,15.333333333333334
OH,2006,0,15.416666666666666
OH,2007,0,15.111111111111112
OH,2008,0,17.88888888888889
OH,2009,0,20.86111111111111
OH,2010,0,22.666666666666668
OH,2011,0,23.52777777777778
OH,2012,0,24.52777777777778
OH,2013,0,25.72222222222222
OH,2014,0,27.694444444444446
OH,2015,0.25,28.75
OH,2016,1,28
OH,2017,1.0833333333333333,30.305555555555554
OH,2018,2.0833333333333335,35.97222222222222
OH,2019,5.333333333333333,37.94444444444444
OH,2020,8.75,39.166666666666664
OH,2021,13.333333333333334,34.75
OK,2004,0,14.166666666666666
OK,2005,0,16.416666666666668
OK,2006,0,14.805555555555555
OK,2007,0,17.13888888888889
OK,2008,0,19
OK,2009,0,22.22222222222222
OK,2010,0.08333333333333333,23.77777777777778
OK,2011,0,25.166666666666664
OK,2012,0.16666666666666666,27.72222222222222
OK,2013,0.16666666666666666,29.666666666666664
OK,2014,1,33.666666666666664
OK,2015,1,29.277777777777775
OK,2016,1.6666666666666667,32.05555555555556
OK,2017,2,35.083333333333336
OK,2018,7.166666666666667,49.47222222222222
OK,2019,43.75,63.36111111111111
OK,2020,50.083333333333336,58.77777777777778
OK,2021,50.333333333333336,50.75
OR,2004,0,16.416666666666664
OR,2005,0.08333333333333333,16.166666666666668
OR,2006,0,15.61111111111111
OR,2007,0,16.88888888888889
OR,2008,0,18
OR,2009,0,22.166666666666668
