unitid,instnm,stabbr,st_fips,zip,latitude,longitude,ugds,adm_rate,year
207971,University of Tulsa,OK,40,74104-3189,36.152324,-95.945941,3316,0.3895,2017
208035,Western Oklahoma State College,OK,40,73521-1397,34.669018,-99.33699,1087,NA,2017
208044,Formations Institute of Cosmetology & Barbering,OK,40,73801,36.43491,-99.386309,34,NA,2017
208053,High Plains Technology Center,OK,40,73801,36.40621,-99.427304,79,NA,2017
245953,Mid-America Christian University,OK,40,73170-9797,35.347785,-97.578297,1561,NA,2017
245962,Platt College,OK,40,74145,36.109468,-95.903824,329,NA,2017
245980,Ponca City Beauty College,OK,40,74601,36.73957,-97.06801,35,NA,2017
245999,Francis Tuttle Technology Center,OK,40,73142-2789,35.60052,-97.640672,806,NA,2017
246017,Central Technology Center,OK,40,74030,35.994261,-96.585322,268,NA,2017
248606,Moore Norman Technology Center,OK,40,73069-8399,35.274434,-97.457319,384,0.6789,2017
250993,Red River Technology Center,OK,40,73533,34.491393,-97.99029,526,NA,2017
363165,Metro Technology Centers,OK,40,73111-5240,35.512549,-97.478182,1188,NA,2017
364548,Great Plains Technology Center,OK,40,73505-8399,34.592907,-98.450321,209,NA,2017
364627,Pioneer Technology Center,OK,40,74601,36.72772,-97.093516,126,NA,2017
364946,Caddo Kiowa Technology Center,OK,40,73038-0190,35.108561,-98.443443,416,NA,2017
365198,Southern Oklahoma Technology Center,OK,40,73401,34.186239,-97.082971,102,NA,2017
365213,Autry Technology Center,OK,40,73703-2506,36.419122,-97.89719,344,0.7411,2017
365374,Canadian Valley Technology Center,OK,40,73036-9117,35.509208,-97.881967,313,NA,2017
365480,Meridian Technology Center,OK,40,74074-1899,36.106981,-97.108414,137,NA,2017
366623,Northwest Technology Center-Alva,OK,40,73717,36.786733,-98.675711,124,NA,2017
368364,Southwest Technology Center,OK,40,73521,34.668194,-99.341161,206,NA,2017
375656,Chisholm Trail Technology Center,OK,40,73764-6335,35.84221,-98.20184,33,NA,2017
375683,Gordon Cooper Technology Center,OK,40,74804,35.380321,-96.908013,689,NA,2017
375726,Kiamichi Technology Center-McAlester,OK,40,74501,34.924173,-95.745999,523,NA,2017
413820,Yukon Beauty College Inc,OK,40,73099,35.508293,-97.74668,18,NA,2017
414966,Phillips Theological Seminary,OK,40,74116-5612,36.167983,-95.868146,NA,NA,2017
418296,Indian Capital Technology Center-Muskogee,OK,40,74403-1889,35.774921,-95.311895,732,NA,2017
418302,Western Technology Center,OK,40,73624-1469,35.352842,-99.180998,203,NA,2017
418320,Mid-America Technology Center,OK,40,73095-0210,34.912498,-97.364174,873,NA,2017
418339,Northeast Technology Center-Pryor,OK,40,74361,36.309116,-95.425056,173,NA,2017
418348,Eastern Oklahoma County Technology Center,OK,40,73020-9017,35.516891,-97.266991,114,NA,2017
418357,Wes Watkins Technology Center,OK,40,74883-6155,35.233305,-96.266262,47,NA,2017
420459,Northeast Technology Center-Afton,OK,40,74331,36.730369,-94.929123,157,NA,2017
428019,Green Country Technology Center,OK,40,74447-1217,35.63293,-95.9365,78,0.9672,2017
428143,Platt College-Lawton,OK,40,73501,34.605627,-98.389416,227,NA,2017
431017,Mid-Del Technology Center,OK,40,73110-4825,35.455237,-97.402578,109,NA,2017
432074,Northeast Technology Center-Kansas,OK,40,74347,36.209828,-94.778431,128,NA,2017
439570,Community Care College,OK,40,74145,36.101615,-95.905178,138,NA,2017
439932,Shawnee Beauty College,OK,40,74801,35.356032,-96.912574,20,NA,2017
443058,Family of Faith Christian University,OK,40,74802,35.462234,-96.901413,38,0.8,2017
445258,Platt College-OKC-Memorial,OK,40,73134,35.611128,-97.563751,234,NA,2017
447379,Platt College-Moore,OK,40,73160,35.339154,-97.478449,295,NA,2017
448424,Broken Arrow Beauty College,OK,40,74133,36.060431,-95.852816,48,NA,2017
449728,ATA College,OK,40,74146,36.098554,-95.856621,102,NA,2017
450401,Clary Sage College,OK,40,74145,36.117058,-95.903835,354,NA,2017
455929,Academy of Hair Design-Oklahoma City,OK,40,73134-8055,35.612955,-97.557189,46,NA,2017
456560,Northeast Technology Center-Claremore,OK,40,74017,36.326822,-95.634154,114,NA,2017
469629,Oklahoma Technical College,OK,40,74145-1122,36.098687,-95.905011,150,NA,2017
480967,College of the Muscogee Nation,OK,40,74447-0917,35.635288,-95.936439,194,NA,2017
483276,JB's Hair Design and Barber College,OK,40,73139,35.405519,-97.52838,60,NA,2017
