Jurisdictions,Year,url
North Dakota,2012,https://web.archive.org/web/20121221080245/http:/www.priceofweed.com/prices/United-States/North-Dakota.html
Ohio,2012,https://web.archive.org/web/20121221080245/http:/www.priceofweed.com/prices/United-States/Ohio.html
Oklahoma,2012,https://web.archive.org/web/20121221080245/http:/www.priceofweed.com/prices/United-States/Oklahoma.html
Oregon,2012,https://web.archive.org/web/20121221080245/http:/www.priceofweed.com/prices/United-States/Oregon.html
Pennsylvania,2012,https://web.archive.org/web/20121221080245/http:/www.priceofweed.com/prices/United-States/Pennsylvania.html
Puerto Rico,2012,https://web.archive.org/web/20121221080245/http:/www.priceofweed.com/prices/United-States/Puerto-Rico.html
Rhode Island,2012,https://web.archive.org/web/20121221080245/http:/www.priceofweed.com/prices/United-States/Rhode-Island.html
South Carolina,2012,https://web.archive.org/web/20121221080245/http:/www.priceofweed.com/prices/United-States/South-Carolina.html
South Dakota,2012,https://web.archive.org/web/20121221080245/http:/www.priceofweed.com/prices/United-States/South-Dakota.html
Tennessee,2012,https://web.archive.org/web/20121221080245/http:/www.priceofweed.com/prices/United-States/Tennessee.html
Texas,2012,https://web.archive.org/web/20121221080245/http:/www.priceofweed.com/prices/United-States/Texas.html
Utah,2012,https://web.archive.org/web/20121221080245/http:/www.priceofweed.com/prices/United-States/Utah.html
Vermont,2012,https://web.archive.org/web/20121221080245/http:/www.priceofweed.com/prices/United-States/Vermont.html
Virginia,2012,https://web.archive.org/web/20121221080245/http:/www.priceofweed.com/prices/United-States/Virginia.html
Washington,2012,https://web.archive.org/web/20121221080245/http:/www.priceofweed.com/prices/United-States/Washington.html
West Virginia,2012,https://web.archive.org/web/20121221080245/http:/www.priceofweed.com/prices/United-States/West-Virginia.html
Wisconsin,2012,https://web.archive.org/web/20121221080245/http:/www.priceofweed.com/prices/United-States/Wisconsin.html
Wyoming,2012,https://web.archive.org/web/20121221080245/http:/www.priceofweed.com/prices/United-States/Wyoming.html
Alabama,2013,https://web.archive.org/web/20131127234728/http:/www.priceofweed.com/prices/United-States/Alabama.html
Alaska,2013,https://web.archive.org/web/20131127234728/http:/www.priceofweed.com/prices/United-States/Alaska.html
Arizona,2013,https://web.archive.org/web/20131127234728/http:/www.priceofweed.com/prices/United-States/Arizona.html
Arkansas,2013,https://web.archive.org/web/20131127234728/http:/www.priceofweed.com/prices/United-States/Arkansas.html
California,2013,https://web.archive.org/web/20131127234728/http:/www.priceofweed.com/prices/United-States/California.html
